paper,sample,museum,locale,genbank,species,OTU,morphology,LAT,LON
Leavitt 2007,15,RLB5292.16,"USA: California, Los Angeles Co.; Alpine Butte; N 34.6333, W 117.9",EU129785,X. vigilis,vigilis_KCAV,plants,34.6333,-117.9
Leavitt 2007,15,RLB5292.22,"USA: California, Los Angeles Co.; Alpine Butte; N 34.6333, W 117.9",EU129786,X. vigilis,vigilis_KCAV,plants,34.6333,-117.9
Leavitt 2007,15,RLB5292.23,"USA: California, Los Angeles Co.; Alpine Butte; N 34.6333, W 117.9",EU129787,X. vigilis,vigilis_KCAV,plants,34.6333,-117.9
Leavitt 2007,15,RLB5292.5,"USA: California, Los Angeles Co.; Alpine Butte; N 34.6333, W 117.9",EU129788,X. vigilis,vigilis_KCAV,plants,34.6333,-117.9
Leavitt 2007,148,RLB5312,"USA: Arizona, Pinal Co.; Sutton's Summit; N 33.35, W 111.0167",EU129511,X. bezyi,bezyi,rocks,33.35,-111.0167
Leavitt 2007,148,RLB5316,"USA: Arizona, Pinal Co.; Sutton's Summit; N 33.35, W 111.0167",EU129512,X. bezyi,bezyi,rocks,33.35,-111.0167
Leavitt 2007,148,RLB5319,"USA: Arizona, Pinal Co.; Sutton's Summit; N 33.35, W 111.0167",EU129513,X. bezyi,bezyi,rocks,33.35,-111.0167
Leavitt 2007,148,RLB5321,"USA: Arizona, Pinal Co.; Sutton's Summit; N 33.35, W 111.0167",EU129514,X. bezyi,bezyi,rocks,33.35,-111.0167
Leavitt 2007,148,RLB5331,"USA: Arizona, Pinal Co.; Sutton's Summit; N 33.35, W 111.0167",EU129515,X. bezyi,bezyi,rocks,33.35,-111.0167
Leavitt 2007,153,RLB5332,"USA: Arizona, Maricopa Co.; Sunflower (1.3 S); N 33.8667, W 111.4667",EU129529,X. bezyi,bezyi,rocks,33.8667,-111.4667
Leavitt 2007,153,RLB5338,"USA: Arizona, Maricopa Co.; Sunflower (1.3 S); N 33.8667, W 111.4667",EU129530,X. bezyi,bezyi,rocks,33.8667,-111.4667
Leavitt 2007,153,RLB5340,"USA: Arizona, Maricopa Co.; Sunflower (1.3 S); N 33.8667, W 111.4667",EU129531,X. bezyi,bezyi,rocks,33.8667,-111.4667
Leavitt 2007,153,RLB5341,"USA: Arizona, Maricopa Co.; Sunflower (1.3 S); N 33.8667, W 111.4667",EU129532,X. bezyi,bezyi,rocks,33.8667,-111.4667
Leavitt 2007,153,RLB5342,"USA: Arizona, Maricopa Co.; Sunflower (1.3 S); N 33.8667, W 111.4667",EU129533,X. bezyi,bezyi,rocks,33.8667,-111.4667
Leavitt 2007,138,RLB5343,"USA: Arizona, Yavapai Co.; Yarnell; N 34.2167, W 112.7667",EU129473,X. arizonae,arizonae,rocks,34.2167,-112.7667
Leavitt 2007,138,RLB5349,"USA: Arizona, Yavapai Co.; Yarnell; N 34.2167, W 112.7667",EU129475,X. arizonae,arizonae,rocks,34.2167,-112.7667
Leavitt 2007,138,RLB5355,"USA: Arizona, Yavapai Co.; Yarnell; N 34.2167, W 112.7667",EU129467,X. arizonae,arizonae,rocks,34.2167,-112.7667
Leavitt 2007,138,RLB5362,"USA: Arizona, Yavapai Co.; Yarnell; N 34.2167, W 112.7667",EU129476,X. arizonae,arizonae,rocks,34.2167,-112.7667
Leavitt 2007,47,DHL-CW8,"USA: California, San Bernardino Co.; Granite Mts.; N 34.8199, W 115.6479",EU129644,X. vigilis,vigilis_EM,plants,34.8199,-115.6479
Sinclair et al 2004,28,LACM 138827,"Hualapai Mountains SW, U.S.A.: Arizona",AY584307,v. vigilis,vigilis_EM,plants,34.90066788,-113.8773822
Noonan et al 2013,vigilis 5847,LACM 138820,USA: Arizona: Hualapai Mts. NE,EU129585,vigilis,vigilis_EM,rocks,34.90147598,-113.8751937
Leavitt 2007,49,DHL77,"USA: California, San Bernardino Co.; Goffs; N 34.9124, W 115.0399",EU129638,X. vigilis,vigilis_EM,plants,34.9124,-115.0399
Leavitt 2007,49,DHL78,"USA: California, San Bernardino Co.; Goffs; N 34.9124, W 115.0399",EU129639,X. vigilis,vigilis_EM,plants,34.9124,-115.0399
Leavitt 2007,62,RLB5373,"USA: Arizona, Mohave Co.; Windy Point; N 35.45, W 114.15",NA,X. vigilis,NA,rocks,35.45,-114.15
Leavitt 2007,69,RLB6830,"USA: Arizona, Mohave Co.; Timber S; N 34.9935, W 113.7909",EU129588,X. vigilis,vigilis_EM,plants,34.9935,-113.7909
Leavitt 2007,69,RLB6831,"USA: Arizona, Mohave Co.; Timber S; N 34.9935, W 113.7909",EU129589,X. vigilis,vigilis_EM,plants,34.9935,-113.7909
Leavitt 2007,69,RLB6832,"USA: Arizona, Mohave Co.; Timber S; N 34.9935, W 113.7909",EU129590,X. vigilis,vigilis_EM,plants,34.9935,-113.7909
Leavitt 2007,62,RLB5380,"USA: Arizona, Mohave Co.; Windy Point; N 35.45, W 114.15",NA,X. vigilis,NA,rocks,35.45,-114.15
Leavitt 2007,88,RLB5381,"USA: California, Kern Co.; Granite Station; N 35.6, W 118.85",EU129856,X. sierrae,sierra,rocks,35.6,-118.85
Leavitt 2007,88,RLB5386,"USA: California, Kern Co.; Granite Station; N 35.6, W 118.85",EU129857,X. sierrae,sierra,rocks,35.6,-118.85
Leavitt 2007,88,RLB5389,"USA: California, Kern Co.; Granite Station; N 35.6, W 118.85",EU129858,X. sierrae,sierra,rocks,35.6,-118.85
Leavitt 2007,88,RLB5393,"USA: California, Kern Co.; Granite Station; N 35.6, W 118.85",EU129859,X. sierrae,sierra,rocks,35.6,-118.85
Leavitt 2007,88,RLB5396,"USA: California, Kern Co.; Granite Station; N 35.6, W 118.85",EU129860,X. sierrae,sierra,rocks,35.6,-118.85
Leavitt 2007,69,RLB6833,"USA: Arizona, Mohave Co.; Timber S; N 34.9935, W 113.7909",EU129591,X. vigilis,vigilis_EM,plants,34.9935,-113.7909
Leavitt 2007,43,BYU46712,"USA: California, San Bernardino Co.; Fossil Bed Road.; N 35.0014, W 117.0026",EU129610,X. vigilis,vigilis_EM,plants,35.0014,-117.0026
Leavitt 2007,43,DHL152,"USA: California, San Bernardino Co.; Fossil Bed Road.; N 35.0014, W 117.0026",EU129611,X. vigilis,vigilis_EM,plants,35.0014,-117.0026
Leavitt 2007,43,DHL153,"USA: California, San Bernardino Co.; Fossil Bed Road.; N 35.0014, W 117.0026",EU129612,X. vigilis,vigilis_EM,plants,35.0014,-117.0026
Leavitt 2007,43,DHL154,"USA: California, San Bernardino Co.; Fossil Bed Road.; N 35.0014, W 117.0026",EU129613,X. vigilis,vigilis_EM,plants,35.0014,-117.0026
Leavitt 2007,43,DHL155,"USA: California, San Bernardino Co.; Fossil Bed Road.; N 35.0014, W 117.0026",EU129614,X. vigilis,vigilis_EM,plants,35.0014,-117.0026
Leavitt 2007,68,RLB6835,"USA: Arizona, Mohave Co.; Timber N; N 35.0274, W 113.8138",EU129592,X. vigilis,vigilis_EM,plants,35.0274,-113.8138
Leavitt 2007,65,RLB5981,"USA: Arizona, Mohave Co.; Goldroad; N 35.0333, W 114.3333",EU129618,X. vigilis,vigilis_EM,plants,35.0333,-114.3333
Leavitt 2007,65,RLB5982,"USA: Arizona, Mohave Co.; Goldroad; N 35.0333, W 114.3333",EU129615,X. vigilis,vigilis_EM,plants,35.0333,-114.3333
