paper,sample,museum,locale,genbank,species,OTU,morphology,LAT,LON
Leavitt 2007,77,RLB5892,"USA: Arizona, Mohave Co.; Red Knob; N 34.6, W 113.4",EU129567,X. vigilis,NA,plants,34.6,-113.4
Leavitt 2007,62,RLB5379,"USA: Arizona, Mohave Co.; Windy Point; N 35.45, W 114.15",EU129677,X. vigilis,vigilis_EM,rocks,35.45,-114.15
Leavitt 2007,60,RLB5436,"USA: Arizona, Mohave Co.; Cerbats below; N 35.45, W 114.3",EU129686,X. vigilis,vigilis_EM,plants,35.45,-114.3
Leavitt 2007,60,RLB5437,"USA: Arizona, Mohave Co.; Cerbats below; N 35.45, W 114.3",EU129693,X. vigilis,vigilis_EM,plants,35.45,-114.3
Sinclair et al 2004,19a,LACM 134531,"Packsaddle, U.S.A.: Arizona",AY584284,v. arizonae,vigilis_EM,Rocks,35.46277385,-114.1592265
Sinclair et al 2004,19a,LACM 134533,"Packsaddle, U.S.A.: Arizona",AY584285,v. arizonae,vigilis_EM,Rocks,35.46277385,-114.1592265
Leavitt 2007,61,RLB5363,"USA: Arizona, Mohave Co.; Packsaddle; N 35.4667, W 114.1833",EU129678,X. vigilis,vigilis_EM,rocks,35.4667,-114.1833
Leavitt 2007,61,RLB5365,"USA: Arizona, Mohave Co.; Packsaddle; N 35.4667, W 114.1833",EU129679,X. vigilis,vigilis_EM,rocks,35.4667,-114.1833
Leavitt 2007,61,RLB5366,"USA: Arizona, Mohave Co.; Packsaddle; N 35.4667, W 114.1833",EU129680,X. vigilis,vigilis_EM,rocks,35.4667,-114.1833
Leavitt 2007,61,RLB5369,"USA: Arizona, Mohave Co.; Packsaddle; N 35.4667, W 114.1833",EU129681,X. vigilis,vigilis_EM,rocks,35.4667,-114.1833
Leavitt 2007,64,RLB5918,"USA: Arizona, Mohave Co.; Valentine NE; N 35.4333, W 113.65",EU129692,X. vigilis,NA,rocks,35.4333,-113.65
Leavitt 2007,61,RLB5370,"USA: Arizona, Mohave Co.; Packsaddle; N 35.4667, W 114.1833",EU129675,X. vigilis,vigilis_EM,rocks,35.4667,-114.1833
Leavitt 2007,59,RLB5283.10,"USA: Arizona, Mohave Co.; Dolan Springs; N 35.5833, W 114.25",EU129682,X. vigilis,vigilis_EM,plants,35.5833,-114.25
Leavitt 2007,59,RLB5283.12,"USA: Arizona, Mohave Co.; Dolan Springs; N 35.5833, W 114.25",EU129685,X. vigilis,vigilis_EM,plants,35.5833,-114.25
Leavitt 2007,59,RLB5283.4,"USA: Arizona, Mohave Co.; Dolan Springs; N 35.5833, W 114.25",EU129683,X. vigilis,vigilis_EM,plants,35.5833,-114.25
Leavitt 2007,59,RLB5283.6,"USA: Arizona, Mohave Co.; Dolan Springs; N 35.5833, W 114.25",EU129684,X. vigilis,vigilis_EM,plants,35.5833,-114.25
Leavitt 2007,145,RLB5953,"USA: Arizona, Yavapai Co.; Mule Shoe; N 34.5167, W 112.9333",EU129480,X. arizonae,arizonae,rocks,34.5167,-112.9333
Leavitt 2007,145,RLB5954,"USA: Arizona, Yavapai Co.; Mule Shoe; N 34.5167, W 112.9333",EU129481,X. arizonae,arizonae,rocks,34.5167,-112.9333
Leavitt 2007,145,RLB5955,"USA: Arizona, Yavapai Co.; Mule Shoe; N 34.5167, W 112.9333",EU129482,X. arizonae,arizonae,rocks,34.5167,-112.9333
Leavitt 2007,145,RLB5956,"USA: Arizona, Yavapai Co.; Mule Shoe; N 34.5167, W 112.9333",EU129483,X. arizonae,arizonae,rocks,34.5167,-112.9333
Leavitt 2007,145,RLB5957,"USA: Arizona, Yavapai Co.; Mule Shoe; N 34.5167, W 112.9333",EU129484,X. arizonae,arizonae,rocks,34.5167,-112.9333
Sinclair et al 2004,32,LACM 151490,"Dolan Springs, U.S.A.: Arizona",AY584275,v. vigilis,vigilis_EM,plants,35.59165742,-114.2593723
Leavitt 2007,151,RLB5971,"USA: Arizona, Maricopa Co.; Blackbrush Ranch; N 33.6167, W 111.15",EU129520,X. bezyi,bezyi,rocks,33.6167,-111.15
Leavitt 2007,150,RLB5972,"USA: Arizona, Pinal Co.; Pinyon Camp; N 33.4167, W 111.783",EU129521,X. bezyi,bezyi,rocks,33.4167,-111.783
Leavitt 2007,150,RLB5973,"USA: Arizona, Pinal Co.; Pinyon Camp; N 33.4167, W 111.783",EU129522,X. bezyi,bezyi,rocks,33.4167,-111.783
Leavitt 2007,154,RLB5974,"USA: Arizona, Maricopa Co.; Sunflower (13.5¬†S); N 33.667, W 111.5",EU129523,X. bezyi,bezyi,rocks,33.667,-111.5
Leavitt 2007,154,RLB5975,"USA: Arizona, Maricopa Co.; Sunflower (13.5¬†S); N 33.667, W 111.5",EU129536,X. bezyi,bezyi,rocks,33.667,-111.5
Leavitt 2007,154,RLB5976,"USA: Arizona, Maricopa Co.; Sunflower (13.5¬†S); N 33.667, W 111.5",EU129537,X. bezyi,bezyi,rocks,33.667,-111.5
Leavitt 2007,154,RLB5977,"USA: Arizona, Maricopa Co.; Sunflower (13.5¬†S); N 33.667, W 111.5",EU129524,X. bezyi,bezyi,rocks,33.667,-111.5
Leavitt 2007,154,RLB5978,"USA: Arizona, Maricopa Co.; Sunflower (13.5¬†S); N 33.667, W 111.5",EU129538,X. bezyi,bezyi,rocks,33.667,-111.5
Leavitt 2007,50,RLB6011,"USA: Nevada, Clark Co.; Jean; N 35.7833, W 115.333",EU129633,X. vigilis,vigilis_EM,plants,35.7833,-115.333
Leavitt 2007,50,RLB6012,"USA: Nevada, Clark Co.; Jean; N 35.7833, W 115.333",EU129634,X. vigilis,vigilis_EM,plants,35.7833,-115.333
Leavitt 2007,50,RLB6013,"USA: Nevada, Clark Co.; Jean; N 35.7833, W 115.333",EU129636,X. vigilis,vigilis_EM,plants,35.7833,-115.333
Leavitt 2007,50,RLB6014,"USA: Nevada, Clark Co.; Jean; N 35.7833, W 115.333",EU129635,X. vigilis,vigilis_EM,plants,35.7833,-115.333
Leavitt 2007,50,RLB6015,"USA: Nevada, Clark Co.; Jean; N 35.7833, W 115.333",EU129637,X. vigilis,vigilis_EM,plants,35.7833,-115.333
Sinclair et al 2004,31,LACM 135205,"Cerbats below, U.S.A.: Arizona",AY584292,v. vigilis,vigilis_EM,plants,35.81535358,-114.1124623
Sinclair et al 2004,33,LACM 135214,"Pierce Ferry, U.S.A.: Arizona",AY584293,v. vigilis,vigilis_EM,plants,35.81588387,-114.1128057
Leavitt 2007,52,RLB5999,"USA: Nevada, Lincoln Co.; Delamar; N 37.55, W 114.8667",EU129622,X. vigilis,NA,plants,37.55,-114.8667
Sinclair et al 2004,33,LACM 135224,"Pierce Ferry, U.S.A.: Arizona",AY584294,v. vigilis,vigilis_EM,plants,35.81588387,-114.1128057
Sinclair et al 2004,41,LACM 145152,"Jean, U.S.A.: Nevada",AY584322,v. vigilis,vigilis_EM,plants,35.8160434,-115.2961599
Leavitt 2007,58,RLB5450,"USA: Arizona, Mohave Co.; Pierce Ferry; N 35.85, W 114.1",EU129687,X. vigilis,vigilis_EM,plants,35.85,-114.1
Leavitt 2007,58,RLB5451,"USA: Arizona, Mohave Co.; Pierce Ferry; N 35.85, W 114.1",EU129688,X. vigilis,vigilis_EM,plants,35.85,-114.1
Leavitt 2007,58,RLB5455,"USA: Arizona, Mohave Co.; Pierce Ferry; N 35.85, W 114.1",EU129689,X. vigilis,vigilis_EM,plants,35.85,-114.1
Leavitt 2007,58,RLB5457,"USA: Arizona, Mohave Co.; Pierce Ferry; N 35.85, W 114.1",EU129690,X. vigilis,vigilis_EM,plants,35.85,-114.1
Noonan et al 2013,vigilis DHL75,BYU 48075,USA: California: Nopah Mts. Pass,EU129718,vigilis,vigilis_EM,plants,36.00767059,-116.077898
Leavitt 2007,57,RLB6945,"USA: Arizona, Mohave Co.; Jacobs; N 36.6247, W 113.9292",EU129668,X. vigilis,vigilis_EM,plants,36.6247,-113.9292
Leavitt 2007,57,RLB6946,"USA: Arizona, Mohave Co.; Jacobs; N 36.6247, W 113.9292",EU129669,X. vigilis,vigilis_EM,plants,36.6247,-113.9292
Leavitt 2007,57,RLB6947,"USA: Arizona, Mohave Co.; Jacobs; N 36.6247, W 113.9292",EU129670,X. vigilis,vigilis_EM,plants,36.6247,-113.9292
Leavitt 2007,57,RLB6948,"USA: Arizona, Mohave Co.; Jacobs; N 36.6247, W 113.9292",EU129671,X. vigilis,vigilis_EM,plants,36.6247,-113.9292
Leavitt 2007,57,RLB6949,"USA: Arizona, Mohave Co.; Jacobs; N 36.6247, W 113.9292",EU129672,X. vigilis,vigilis_EM,plants,36.6247,-113.9292
Sinclair et al 2004,40,LACM 145151,"Moapa, U.S.A.: Nevada",AY584321,v. vigilis,vigilis_EM,plants,36.67234,-114.35255
Noonan et al 2013,vigilis 6009,LACM 145150,USA: Nevada: Moapa,EU116654,vigilis,vigilis_EM,plants,36.67234,-114.35255
Leavitt 2007,51,RLB6006,"USA: Nevada, Clark Co.; Moapa; N 36.7833, W 114.85",EU129625,X. vigilis,vigilis_EM,plants,36.7833,-114.85
Leavitt 2007,51,RLB6007,"USA: Nevada, Clark Co.; Moapa; N 36.7833, W 114.85",EU129626,X. vigilis,vigilis_EM,plants,36.7833,-114.85
Leavitt 2007,51,RLB6008,"USA: Nevada, Clark Co.; Moapa; N 36.7833, W 114.85",EU129627,X. vigilis,vigilis_EM,plants,36.7833,-114.85
Leavitt 2007,152,RLB6074,"USA: Arizona, Maricopa Co.; Four Peaks; N 33.733, W 111.35",EU129525,X. bezyi,bezyi,rocks,33.733,-111.35
Leavitt 2007,152,RLB6078,"USA: Arizona, Maricopa Co.; Four Peaks; N 33.733, W 111.35",EU129527,X. bezyi,bezyi,rocks,33.733,-111.35
Leavitt 2007,152,RLB6080,"USA: Arizona, Maricopa Co.; Four Peaks; N 33.733, W 111.35",EU129528,X. bezyi,bezyi,rocks,33.733,-111.35
Leavitt 2007,152,RLB6082,"USA: Arizona, Maricopa Co.; Four Peaks; N 33.733, W 111.35",EU129534,X. bezyi,bezyi,rocks,33.733,-111.35
Leavitt 2007,152,RLB6083,"USA: Arizona, Maricopa Co.; Four Peaks; N 33.733, W 111.35",EU129535,X. bezyi,bezyi,rocks,33.733,-111.35
Leavitt 2007,20,RLB6088,"USA: California, Kern Co.; Mojave; N 35.05, W 118.1667",EU129771,X. vigilis,NA,plants,35.05,-118.1667
Leavitt 2007,20,RLB6089,"USA: California, Kern Co.; Mojave; N 35.05, W 118.1667",EU129752,X. vigilis,vigilis_KCAV,plants,35.05,-118.1667
Leavitt 2007,20,RLB6090,"USA: California, Kern Co.; Mojave; N 35.05, W 118.1667",EU129764,X. vigilis,vigilis_KCAV,plants,35.05,-118.1667
Leavitt 2007,143,RLB6093,"USA: Arizona, Yavapai Co.; Hillside (4.0¬†W); N 34.4461, W 112.958",EU129499,X. arizonae,arizonae,rocks,34.4461,-112.958
Leavitt 2007,143,RLB6094,"USA: Arizona, Yavapai Co.; Hillside (4.0¬†W); N 34.4461, W 112.958",EU129500,X. arizonae,arizonae,rocks,34.4461,-112.958
Leavitt 2007,143,RLB6095,"USA: Arizona, Yavapai Co.; Hillside (4.0¬†W); N 34.4461, W 112.958",EU129493,X. arizonae,arizonae,rocks,34.4461,-112.958
Leavitt 2007,143,RLB6096,"USA: Arizona, Yavapai Co.; Hillside (4.0¬†W); N 34.4461, W 112.958",EU129494,X. arizonae,arizonae,rocks,34.4461,-112.958
Leavitt 2007,143,RLB6097,"USA: Arizona, Yavapai Co.; Hillside (4.0¬†W); N 34.4461, W 112.958",EU129501,X. arizonae,arizonae,rocks,34.4461,-112.958
Leavitt 2007,51,RLB6009,"USA: Nevada, Clark Co.; Moapa; N 36.7833, W 114.85",EU129628,X. vigilis,vigilis_EM,plants,36.7833,-114.85
Leavitt 2007,149,RLB6102,"USA: Arizona, Pinal Co.; Oak Flat; N 33.3, W 111.067",EU129516,X. bezyi,bezyi,rocks,33.3,-111.067
Leavitt 2007,149,RLB6103,"USA: Arizona, Pinal Co.; Oak Flat; N 33.3, W 111.067",EU129517,X. bezyi,bezyi,rocks,33.3,-111.067
Leavitt 2007,149,RLB6104,"USA: Arizona, Pinal Co.; Oak Flat; N 33.3, W 111.067",EU129519,X. bezyi,bezyi,rocks,33.3,-111.067
Leavitt 2007,149,RLB6105,"USA: Arizona, Pinal Co.; Oak Flat; N 33.3, W 111.067",EU129518,X. bezyi,bezyi,rocks,33.3,-111.067
Leavitt 2007,51,RLB6010,"USA: Nevada, Clark Co.; Moapa; N 36.7833, W 114.85",EU129629,X. vigilis,vigilis_EM,plants,36.7833,-114.85
Leavitt 2007,56,RLB6930,"USA: Arizona, Mohave Co.; Mokaac; N 36.9478, W 113.5565",EU129673,X. vigilis,vigilis_EM,plants,36.9478,-113.5565
Leavitt 2007,56,RLB6931,"USA: Arizona, Mohave Co.; Mokaac; N 36.9478, W 113.5565",EU129674,X. vigilis,vigilis_EM,plants,36.9478,-113.5565
Sinclair et al 2004,38,LACM 135229,"Castle Cliff, U.S.A.: Utah",AY584295,v. vigilis,vigilis_EM,plants,37.066,-113.88584
Leavitt 2007,53,RLB-TC384,"USA: Utah, Washington Co.; Castle Cliff; N 37.0667, W 113.8833",EU129701,X. vigilis,vigilis_EM,plants,37.0667,-113.8833
Leavitt 2007,142,RLB6170,"USA: Arizona, Yavapai Co.; Grayback Mt. (4.2); N 34.4025, W 112.989",EU129495,X. arizonae,arizonae,rocks,34.4025,-112.989
Leavitt 2007,142,RLB6171,"USA: Arizona, Yavapai Co.; Grayback Mt. (4.2); N 34.4025, W 112.989",EU129502,X. arizonae,arizonae,rocks,34.4025,-112.989
Leavitt 2007,142,RLB6172,"USA: Arizona, Yavapai Co.; Grayback Mt. (4.2); N 34.4025, W 112.989",EU129496,X. arizonae,arizonae,rocks,34.4025,-112.989
Leavitt 2007,142,RLB6173,"USA: Arizona, Yavapai Co.; Grayback Mt. (4.2); N 34.4025, W 112.989",EU129503,X. arizonae,arizonae,rocks,34.4025,-112.989
Leavitt 2007,142,RLB6174,"USA: Arizona, Yavapai Co.; Grayback Mt. (4.2); N 34.4025, W 112.989",EU129497,X. arizonae,arizonae,rocks,34.4025,-112.989
Leavitt 2007,141,RLB6179,"USA: Arizona, Yavapai Co.; Grayback Mt. (4.7); N 34.4087, W 112.9975",EU129504,X. arizonae,arizonae,rocks,34.4087,-112.9975
Leavitt 2007,141,RLB6180,"USA: Arizona, Yavapai Co.; Grayback Mt. (4.7); N 34.4087, W 112.9975",EU129505,X. arizonae,arizonae,rocks,34.4087,-112.9975
Leavitt 2007,141,RLB6181,"USA: Arizona, Yavapai Co.; Grayback Mt. (4.7); N 34.4087, W 112.9975",EU129506,X. arizonae,arizonae,rocks,34.4087,-112.9975
Leavitt 2007,141,RLB6182,"USA: Arizona, Yavapai Co.; Grayback Mt. (4.7); N 34.4087, W 112.9975",EU129498,X. arizonae,arizonae,rocks,34.4087,-112.9975
Leavitt 2007,53,RLB5459,"USA: Utah, Washington Co.; Castle Cliff; N 37.0667, W 113.8833",EU129702,X. vigilis,vigilis_EM,plants,37.0667,-113.8833
Leavitt 2007,53,RLB5460,"USA: Utah, Washington Co.; Castle Cliff; N 37.0667, W 113.8833",EU129703,X. vigilis,vigilis_EM,plants,37.0667,-113.8833
Leavitt 2007,53,RLB5462,"USA: Utah, Washington Co.; Castle Cliff; N 37.0667, W 113.8833",EU129704,X. vigilis,vigilis_EM,plants,37.0667,-113.8833
Leavitt 2007,53,RLB5464,"USA: Utah, Washington Co.; Castle Cliff; N 37.0667, W 113.8833",EU129705,X. vigilis,vigilis_EM,plants,37.0667,-113.8833
Leavitt 2007,53,RLB5468,"USA: Utah, Washington Co.; Castle Cliff; N 37.0667, W 113.8833",EU129706,X. vigilis,vigilis_EM,plants,37.0667,-113.8833
Sinclair et al 2004,80,BYU 46845,"Moki Canyon, U.S.A.: Utah",AY584356,v. utahensis,vigilis_EM,Rocks,37.45546789,-110.4045828
Noonan et al 2013,vigilis Mok1,BYU 46845,USA: Utah: Moki Canyon,EU129712,vigilis,vigilis_EM,plants,37.45546789,-110.4045828
Sinclair et al 2004,39,LACM 145140,"Delamar, U.S.A.: Nevada",AY584320,v. vigilis,vigilis_EM,plants,37.46053953,-114.7753677
Noonan et al 2013,vigilis 5999,LACM 145140,USA: Nevada: Delamar,EU129622,vigilis,vigilis_EM,plants,37.46053953,-114.7753677
Noonan et al 2013,vigilis 3366,BYU 48520,USA: Utah: Grand Staircase-Escalante National Monument,EU116658,vigilis,vigilis_EM,plants,37.46105108,-111.5936726
Leavitt 2007,112,BYU48041,"USA: California, San Bernardino Co.; Yucca Valley entrance; N 34.1112, W 116.4752",EU129886,Yucca Valley/ San Jacinto,vigilis_SJ,plants,34.1112,-116.4752
Leavitt 2007,112,BYU48042,"USA: California, San Bernardino Co.; Yucca Valley entrance; N 34.1112, W 116.4752",EU129877,Yucca Valley/ San Jacinto,vigilis_SJ,plants,34.1112,-116.4752
Noonan et al 2013,'San Jacinto' DHL30,BYU 48038,USA: California: Yucca Valley Entrance,EU129876,NA,vigilis_SJ,plants,34.11417,-116.43224
Leavitt 2007,110,RLB6673,"USA: California, San Bernardino Co.; Yucca Valley, Hwy. 247; N 34.1297, W 116.4145",EU129904,Yucca Valley,vigilis_YV,plants,34.1297,-116.4145
Leavitt 2007,110,RLB6674,"USA: California, San Bernardino Co.; Yucca Valley, Hwy. 247; N 34.1297, W 116.4145",EU129914,Yucca Valley,vigilis_YV,plants,34.1297,-116.4145
Leavitt 2007,35,RLB6675,"USA: California, Kern Co.; Freeman; N 35.6062, W 117.9412",EU129832,X. vigilis,vigilis_OV,plants,35.6062,-117.9412
Leavitt 2007,35,RLB6675,"USA: California, Kern Co.; Freeman; N 35.6062, W 117.9412",EU129832,X. vigilis,vigilis_OV,plants,35.6062,-117.9412
Leavitt 2007,35,RLB6677,"USA: California, Kern Co.; Freeman; N 35.6062, W 117.9412",EU129838,X. vigilis,vigilis_OV,plants,35.6062,-117.9412
Leavitt 2007,35,RLB6678,"USA: California, Kern Co.; Freeman; N 35.6062, W 117.9412",EU129836,X. vigilis,vigilis_OV,plants,35.6062,-117.9412
Leavitt 2007,35,RLB6679,"USA: California, Kern Co.; Freeman; N 35.6062, W 117.9412",EU129833,X. vigilis,vigilis_OV,plants,35.6062,-117.9412
Leavitt 2007,36,RLB6680,"USA: California, Kern Co.; Short Canyon; N 35.7108, W 117.9108",EU129841,X. vigilis,vigilis_OV,plants,35.7108,-117.9108
Leavitt 2007,42,RLB6719,"USA: California, San Benito Co.; Panoche; N 36.658, W 120.7823",EU129844,X. vigilis,vigilis_PP,plants,36.658,-120.7823
Leavitt 2007,42,RLB6720,"USA: California, San Benito Co.; Panoche; N 36.658, W 120.7823",EU129842,X. vigilis,vigilis_PP,plants,36.658,-120.7823
Leavitt 2007,42,RLB6721,"USA: California, San Benito Co.; Panoche; N 36.658, W 120.7823",EU129843,X. vigilis,NA,plants,36.658,-120.7823
Leavitt 2007,42,RLB6722,"USA: California, San Benito Co.; Panoche; N 36.658, W 120.7823",EU129845,X. vigilis,vigilis_PP,plants,36.658,-120.7823
Noonan et al 2013,vigilis 3369,BYU 48523,USA: Utah: Grand Staircase-Escalante National Monument,EU116659,vigilis,vigilis_EM,plants,37.46105108,-111.5936726
Leavitt 2007,52,RLB5995,"USA: Nevada, Lincoln Co.; Delamar; N 37.55, W 114.8667",EU129620,X. vigilis,vigilis_EM,plants,37.55,-114.8667
Leavitt 2007,52,RLB5997,"USA: Nevada, Lincoln Co.; Delamar; N 37.55, W 114.8667",EU129621,X. vigilis,vigilis_EM,plants,37.55,-114.8667
Leavitt 2007,52,RLB6000,"USA: Nevada, Lincoln Co.; Delamar; N 37.55, W 114.8667",EU129623,X. vigilis,vigilis_EM,plants,37.55,-114.8667
Leavitt 2007,52,RLB6004,"USA: Nevada, Lincoln Co.; Delamar; N 37.55, W 114.8667",EU129624,X. vigilis,vigilis_EM,plants,37.55,-114.8667
Leavitt 2007,54,RLB-KC1215,"USA: Utah, Garfield Co.; Hogs Back; N 37.8833, W 110.6167",EU129707,X. vigilis,vigilis_EM,plants,37.8833,-110.6167
Leavitt 2007,54,RLB-KC1216,"USA: Utah, Garfield Co.; Hogs Back; N 37.8833, W 110.6167",EU129708,X. vigilis,vigilis_EM,plants,37.8833,-110.6167
Leavitt 2007,54,RLB-KC1217,"USA: Utah, Garfield Co.; Hogs Back; N 37.8833, W 110.6167",EU129709,X. vigilis,vigilis_EM,plants,37.8833,-110.6167
Leavitt 2007,54,RLB5584,"USA: Utah, Garfield Co.; Hogs Back; N 37.8833, W 110.6167",EU129710,X. vigilis,vigilis_EM,plants,37.8833,-110.6167
Leavitt 2007,54,RLB5586,"USA: Utah, Garfield Co.; Hogs Back; N 37.8833, W 110.6167",EU129711,X. vigilis,vigilis_EM,plants,37.8833,-110.6167
Sinclair et al 2004,37,LACM 136734,"Hogs Back, U.S.A.: Utah",AY584270,v. utahensis,vigilis_EM,Rocks/plants,37.90708,-110.57433
Noonan et al 2013,vigilis 1216,LACM 136734,USA: Utah: Hogs Back,EU116657,vigilis,vigilis_EM,plants,37.90708,-110.57433
Lovich et al 2001,SDSNH68850,SDSNH68850,"Culp Valley Campground, San Diego Co, CA",AF313385,henshawi,henshawi_1,rocks,33.22479227,-116.4556251
Sinclair et al 2004,…,SDSNH 68824,"Riverside, U.S.A.: California",AF313381,henshawi henshawi,henshawi_3,Rocks,33.97893715,-117.3775708
Sinclair et al 2004,84,ABDSP 625-2-01-625-2-02,"Truckhaven, U.S.A.: California",AF313373,henshawi gracilis,gracilis,Rocks,33.29865449,-115.9714128
Lovich et al 2001,SDSNH68800,SDSNH68800,"3 km south of Banning, Riverside Co, CA",AF313377,henshawi,henshawi_3,rocks,33.93212199,-116.8725607
Lovich et al 2001,SDSNH68802,SDSNH68802,"3 km south of Banning, Riverside Co, CA",AF313375,henshawi,henshawi_3,rocks,33.93212199,-116.8725607
Sinclair et al 2004,84,SDSNH 68825,"Truckhaven, U.S.A.: California",AY584364,henshawi gracilis,gracilis,Rocks,33.29865449,-115.9714128
Leavitt 2007,NA,RLB-TC716,"USA: California, San Diego Co.; Truckhaven Rocks",EU129457,X. gracilis,gracilis,rocks,33.29063353,-116.1398936
Lovich et al 2001,SDSNH68809,SDSNH68809,"2 km north of I-15, Riverside Co, CA",AF313384,henshawi,henshawi_2,rocks,NA,NA
Lovich et al 2001,SDSNH68813,SDSNH68813,"1 km west of highway 79, San Diego Co, CA",AF313380,henshawi,henshawi_2,rocks,33.42397352,-116.8196843
Lovich et al 2001,SDSNH68817,SDSNH68817,"2 km west of highway 79, San Diego Co, CA",AF313379,henshawi,henshawi_2,rocks,33.42397352,-116.8196843
Lovich et al 2001,SDSNH68824,SDSNH68824,"Santa Rosa Mountain Road, San Diego Co, CA",AF313381,henshawi,henshawi_3,rocks,33.59733471,-116.2535406
Noonan et al 2013,"gracilis ""Xagr""",ABDSP-SRC 625-2-02,USA: California: Truckhaven,EU116622,gracilis,gracilis,rocks,33.29865449,-115.9714128
Lovich et al 2001,SDSNH68836,SDSNH68836,"2 km north of Lake Morena, San Diego Co, CA",AF313376,henshawi,henshawi_2,rocks,32.68286568,-116.5184416
Lovich et al 2001,SDSNH68840,SDSNH68840,"3 km southwest of Campo, San Diego Co, CA",AF313378,henshawi,henshawi_2,rocks,32.60671085,-116.470447
Noonan et al 2013,gracilis TC716,SDNHM 64825,USA: California: Truckhaven,EU129457,gracilis,gracilis,rocks,33.29865449,-115.9714128
Lovich et al 2001,SDSNH68859,SDSNH68859,"1 km south Mountain Springs and I-8, Imperial Co, CA",AF313383,henshawi,henshawi_2,rocks,32.67545119,-116.101494
Sinclair et al 2004,2,UAZ 44029,"Galiuro Zapata, U.S.A.: Arizona",AY584268,v. arizonae,bezyi,Rocks/plants,32.58956374,-110.3316521
Sinclair et al 2004,2,UAZ 44030,"Galiuro Zapata, U.S.A.: Arizona",AY584269,v. arizonae,bezyi,Rocks/plants,32.58956374,-110.3316521
Noonan et al 2013,riversiana Stipa 138,WM 138,USA: California: San Clemente Is.,EU116632,riversiana,riversiana,plants,32.90971496,-118.479246
Noonan et al 2013,riversiana Stipa 147,WM 147,USA: California: San Clemente Is.,EU116631,riversiana,riversiana,plants,32.90971496,-118.479246
Noonan et al 2013,riversiana Wilson 162,WM 162,USA: California: San Clemente Is.,EU116633,riversiana,riversiana,plants,32.90971496,-118.479246
Noonan et al 2013,riversiana Wilson 40,WM 40,USA: California: San Clemente Is.,EU116630,riversiana,riversiana,plants,32.90971496,-118.479246
Noonan et al 2013,riversiana Eel 531,WM 531,USA: California: San Clemente Is.,EU116634,riversiana,riversiana,plants,32.90971496,-118.479246
Noonan et al 2013,riversiana Shoba 66,WM 616,USA: California: San Clemente Is.,EU116628,riversiana,riversiana,plants,32.90971496,-118.479246
Noonan et al 2013,riversiana Shoba 50,WM50,USA: California: San Clemente Is.,EU116629,riversiana,riversiana,plants,32.90971496,-118.479246
